,ip,app,device,os,channel,click_time,attributed_time,is_attributed
0,83230,3,1,13,379,2017-11-06 14:32:21,,0
1,17357,3,1,19,379,2017-11-06 14:33:34,,0
2,35810,3,1,13,379,2017-11-06 14:34:12,,0
3,45745,14,1,13,478,2017-11-06 14:34:52,,0
4,161007,3,1,13,379,2017-11-06 14:35:08,,0
5,18787,3,1,16,379,2017-11-06 14:36:26,,0
6,103022,3,1,23,379,2017-11-06 14:37:44,,0
7,114221,3,1,19,379,2017-11-06 14:37:59,,0
8,165970,3,1,13,379,2017-11-06 14:38:10,,0
9,74544,64,1,22,459,2017-11-06 14:38:23,,0
10,172522,3,1,25,379,2017-11-06 14:38:27,,0
11,105861,3,1,13,379,2017-11-06 14:38:51,,0
12,210962,3,1,19,379,2017-11-06 14:39:29,,0
13,124979,3,1,18,379,2017-11-06 14:40:16,,0
14,38816,3,1,18,379,2017-11-06 14:40:39,,0
15,80447,3,1,19,379,2017-11-06 14:40:51,,0
16,134575,3,1,13,379,2017-11-06 14:43:10,,0
17,57576,3,1,19,379,2017-11-06 14:43:14,,0
18,7755,3,1,13,379,2017-11-06 14:43:25,,0
19,91749,3,1,19,379,2017-11-06 14:43:51,,0
20,50694,3,1,18,379,2017-11-06 14:44:02,,0
21,111385,3,1,18,379,2017-11-06 14:44:15,,0
22,125222,14,1,3,478,2017-11-06 14:44:51,,0
23,191759,3,1,13,379,2017-11-06 14:44:51,,0
24,53418,3,1,17,379,2017-11-06 14:44:52,,0
25,183168,3,1,19,379,2017-11-06 14:47:49,,0
26,47902,3,1,17,379,2017-11-06 14:48:07,,0
27,209663,3,1,13,379,2017-11-06 14:48:55,,0
28,129614,3,1,20,379,2017-11-06 14:49:36,,0
29,208347,3,1,19,379,2017-11-06 14:49:38,,0
30,73503,3,1,18,379,2017-11-06 14:49:43,,0
31,28739,3,1,13,379,2017-11-06 14:50:29,,0
32,206897,3,1,13,379,2017-11-06 14:51:52,,0
33,30986,3,1,19,379,2017-11-06 14:52:13,,0
34,2805,3,1,16,379,2017-11-06 14:52:58,,0
35,103175,18,1,17,376,2017-11-06 14:53:23,,0
36,23550,3,1,13,379,2017-11-06 14:53:39,,0
37,29045,64,1,13,459,2017-11-06 14:54:59,,0
38,74715,3,1,19,379,2017-11-06 14:55:25,,0
39,148454,3,1,19,379,2017-11-06 14:55:32,,0
40,31529,3,1,15,379,2017-11-06 14:56:11,,0
41,16760,3,1,15,379,2017-11-06 14:56:12,,0
42,84644,3,1,19,379,2017-11-06 14:56:49,,0
43,121942,3,1,13,379,2017-11-06 14:57:33,,0
44,25236,3,1,18,379,2017-11-06 14:57:40,,0
45,38036,3,1,19,379,2017-11-06 14:57:40,,0
46,129614,3,1,19,379,2017-11-06 14:57:50,,0
47,128855,3,1,13,379,2017-11-06 14:58:16,,0
48,166030,3,1,19,379,2017-11-06 15:02:51,,0
49,166862,3,1,13,379,2017-11-06 15:02:52,,0
50,153492,3,1,17,379,2017-11-06 15:03:11,,0
51,88150,3,1,13,379,2017-11-06 15:04:04,,0
52,108942,3,1,19,379,2017-11-06 15:04:28,,0
53,55774,3,1,13,379,2017-11-06 15:05:05,,0
54,64886,3,1,13,379,2017-11-06 15:05:17,,0
55,192796,3,1,19,379,2017-11-06 15:07:24,,0
56,32450,3,1,17,379,2017-11-06 15:07:29,,0
57,38763,3,1,13,379,2017-11-06 15:08:04,,0
58,90452,64,1,17,459,2017-11-06 15:08:11,,0
